"CAL1","CAL2","CAL3","CAL4"
0.469999999999999,0.609999999999999,0.5,0.399999999999991
0.459999999999994,0.649999999999991,0.509999999999991,0.430000000000007
0.469999999999999,0.650000000000006,0.510000000000005,0.430000000000007
0.410000000000011,0.579999999999998,0.480000000000004,0.409999999999997
0.379999999999995,0.579999999999998,0.480000000000004,0.410000000000011
0.359999999999999,0.629999999999995,0.5,0.399999999999991
0.390000000000001,0.799999999999997,0.569999999999993,0.469999999999999
0.359999999999999,0.789999999999992,0.599999999999994,0.480000000000004
0.339999999999989,0.730000000000004,0.539999999999992,0.459999999999994
0.359999999999999,0.760000000000005,0.570000000000007,0.460000000000008
0.63000000000001,0.689999999999998,0.530000000000001,0.449999999999989
0.730000000000004,0.75,0.550000000000011,0.459999999999994
0.719999999999999,0.760000000000005,0.549999999999997,0.469999999999999
